year,month_number,produccion,importaciones,exportaciones_totales,consumo_nacional_aparente,inventario_inicial,inventario_final,oferta_total,demanda_total,net_exports,supply_demand_ratio,demand_pressure,excess_supply,inventory_to_consumption,inventory_months,production_share
2014,8,,614,117184,298617,1609843,1194655,1610457,415801,116570.0,3.873143643233181,,,4.000626220208495,48.00751464250193,
2014,9,,957,42217,322251,1194655,831144,1195612,364468,41260.0,3.280430655091805,,,2.579182066153402,30.950184793840826,
2014,11,227800.0,945,11220,261485,461606,406360,690351,283991,10275.0,2.4308904155413376,0.3950236908471198,417646.0,1.5540470772702066,18.64856492724248,0.32997706963559115
2014,12,812879.0,1126,13514,453592,406360,686768,1220366,479689,12388.0,2.5440775168911522,0.3827592564519631,753259.0,1.5140655038007724,18.16878604560927,0.6660944339648925
2015,1,969617.0,183,74038,379695,740677,1246084,1710476,464393,73855.0,3.6832510395290194,0.26526694015762853,1256744.0,3.281802499374498,39.38162999249398,0.5668696900745758
2015,2,1033203.0,208,144753,443771,1246084,1676969,2279495,602526,144545.0,3.783230931113346,0.2581817463955832,1690971.0,3.7789062376766394,45.346874852119676,0.45325960355254125
2015,3,1001252.0,595,130987,443287,1676969,2089573,2678816,589243,130392.0,4.546199106310978,0.21437605270388113,2104542.0,4.713815203243046,56.56578243891654,0.37376661928254873
2015,4,996818.0,464,156783,445607,2089573,2471477,3086855,615378,156319.0,5.016193299077965,0.19514684039256783,2484465.0,5.546315475295496,66.55578570354595,0.32292349332897075
2015,5,719446.0,489,189852,399814,2471477,2590139,3191412,601273,189363.0,5.307758705280297,0.1847664920731012,2601746.0,6.478359937370877,77.74031924845052,0.22543187780205126
2015,6,206163.0,472,121315,425638,2590139,2236136,2796774,560638,120843.0,4.988555895247914,0.19556567674041592,2249821.0,5.253609875058148,63.04331850069777,0.07371457257540294
2015,7,14656.0,1375,204495,253614,2236136,1782987,2252167,469180,203120.0,4.800219531949359,0.2034080954032272,1794058.0,7.030317726939365,84.36381272327237,0.006507510322280719
2015,8,,418,212710,288754,1782987,1270945,1783405,512460,212292.0,3.4800862506341956,,,4.4014801526558935,52.81776183187073,
2015,9,,302,146050,286213,1270945,810709,1271247,460538,145748.0,2.760352023068672,,,2.832537306132146,33.990447673585756,
2015,10,455.0,364,30475,315662,810709,453126,811528,358402,30111.0,2.264295400137276,0.4265250243984188,465391.0,1.435478454802922,17.225741457635063,0.0005606707347127887
2015,11,181332.0,387,30620,284515,453126,307794,634845,327051,30233.0,1.9411192749754624,0.4963967582638282,319710.0,1.08181993919477,12.981839270337241,0.2856319259031732
2015,12,760229.0,657,63173,407170,307794,581213,1068680,487467,62516.0,2.192312505256766,0.44011584384474306,598337.0,1.4274455387184715,17.129346464621655,0.7113719729011491
2016,1,997931.0,283,143956,427748,581213,998633,1579427,580794,143673.0,2.7194271979393725,0.36196924580876483,1007723.0,2.3346292676996736,28.015551212396087,0.6318310374585213
2016,2,1079005.0,277,79790,323326,998633,1651048,2077915,426867,79513.0,4.867827684032732,0.19400023581330325,1674799.0,5.106449837006613,61.277398044079355,0.5192729250234008
2016,3,1164726.0,2653,113192,482170,1651048,2197496,2818427,620931,110539.0,4.539034127785535,0.21123910606873977,2223065.0,4.557512910384304,54.69015492461165,0.41325391787688665
2016,4,1084918.0,5618,141541,476181,2197496,2646203,3288032,641829,135923.0,5.122909684666788,0.18786982608441766,2670310.0,5.557136887024051,66.68564264428862,0.3299596840906658
2016,5,701105.0,402,71270,428952,2646203,2819475,3347709,528234,70868.0,6.337549267938073,0.149422142300259,2847488.0,6.572938230851005,78.87525877021206,0.20942829857672815
2016,6,144181.0,525,172551,333585,2819475,2426351,2964181,537831,172026.0,5.511361375599399,0.1707507065189339,2458045.0,7.273561461096872,87.28273753316246,0.048641091755193086
2016,7,3166.0,510,125473,308869,2426351,1958108,2430026,471918,124963.0,5.149254743408813,0.17873957779069943,1995685.0,6.339606758852458,76.07528110622951,0.0013028667182984873
2016,8,0.0,1198,99662,391468,1958108,1433355,1959307,525952,98464.0,3.72525819846678,0.25066528658616877,1468176.0,3.6614870180959875,43.93784421715185,0.0
2016,9,0.0,4229,143147,207838,1433355,1036963,1437584,400620,138918.0,3.5883979831261543,0.2441492114547741,1086599.0,4.9892849238349095,59.871419086018925,0.0
2016,10,0.0,5089,46405,343108,1036963,632772,1042052,409280,41316.0,2.5460613760750586,0.37379420604729896,652539.0,1.8442356342609325,22.13082761113119,0.0
2016,11,178503.0,3245,36734,358782,632772,399002,814520,415517,33489.0,1.9602567403981064,0.4855816922850268,419004.0,1.1121014989603715,13.345217987524459,0.2191511565093552
